Column1,Soil_Name,MEAN_Yld_V,COUNT_Yld_,MEAN_Eleva,RANGE_Elev,Crop-Type,V.A.T(F),R.A.T(F),M.A.T(F),V.PET(inch),R.PET(inch),M.PET(inch),V.T.R(inch),R.T.R(inch),M.T.R(inch),NormalizedYield
40,"Barnes-Svea Loams, 0-3 slope",38.87412,5,1505.28216,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.750512001
41,"Barnes-Svea Loams, 0-3 slope",36.55642,5,1506.33204,0.9843,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.705765993
42,"Barnes-Svea Loams, 0-3 slope",38.90474,5,1507.64434,0.6562,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.751103157
43,"Barnes-Svea Loams, 0-3 slope",40.33044,5,1507.44748,0.6562,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.778628023
44,"Barnes-Svea Loams, 0-3 slope",42.88214,5,1506.72576,0.3281,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.827891684
45,"Barnes-Svea Loams, 0-3 slope",30.79854,5,1507.18504,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.594603142
46,"Barnes-Svea Loams, 0-3 slope",19.69605,2,1508.49735,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.380256116
47,"Barnes-Svea Loams, 0-3 slope",26.405875,4,1508.9895,0.328,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.50979742
48,"Barnes-Svea Loams, 0-3 slope",33.73478,5,1509.416,0.9842,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.651290813
49,"Hamerly-Wyard Loams, 0-3 slope",34.158,4,1508.333325,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.659461588
50,"Hamerly-Wyard Loams, 0-3 slope",39.06836,5,1506.79136,0.6561,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.754262039
51,"Hamerly-Wyard Loams, 0-3 slope",42.42184286,7,1507.185043,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.81900509
52,"Svea-Cresbard Loams, 0-3 slope",37.9073,6,1507.8412,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.731846369
53,"Svea-Cresbard Loams, 0-3 slope",32.32393333,6,1507.67715,0.3281,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.624052709
54,"Svea-Cresbard Loams, 0-3 slope",32.70904,5,1508.89108,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.631487659
55,"Svea-Cresbard Loams, 0-3 slope",34.21822,5,1510.5315,0.9842,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.660624208
56,"Svea-Cresbard Loams, 0-3 slope",28.76628,5,1511.97506,0.9843,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.555367899
57,"Svea-Cresbard Loams, 0-3 slope",29.17274,5,1512.82812,0.6562,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.563215102
58,"Svea-Cresbard Loams, 0-3 slope",32.57212,5,1512.63126,0.9843,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.628844253
59,"Svea-Cresbard Loams, 0-3 slope",35.0421,5,1511.84382,0.3281,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.67653021
60,"Svea-Cresbard Loams, 0-3 slope",21.23636,5,1511.71258,0.9843,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.409993668
61,"Svea-Cresbard Loams, 0-3 slope",36.8502,1,1509.8097,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.711437772
62,"Svea-Cresbard Loams, 0-3 slope",37.55042,5,1509.8097,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.724956368
63,"Svea-Cresbard Loams, 0-3 slope",34.93106,5,1509.8097,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.674386449
64,"Svea-Cresbard Loams, 0-3 slope",33.09936,5,1509.74408,0.3281,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.63902326
65,"Svea-Cresbard Loams, 0-3 slope",26.4243,1,1509.8097,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.510153137
71,"La Prairie-Fluvaquents, Channeled Complex, 0-2",32.64651667,6,1488.593633,0.328,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.630280571
72,"La Prairie-Fluvaquents, Channeled Complex, 0-2",28.22055789,19,1492.248579,5.2494,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.544832073
73,"Fordville-Renshaw Loams, 02 slope",22.38377143,14,1491.460436,1.3124,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.432145836
74,"Fordville-Renshaw Loams, 02 slope",26.261725,16,1491.170419,0.9843,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.507014429
75,"Fordville-Renshaw Loams, 02 slope",33.46440625,16,1491.375481,1.6405,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.64607092
76,"Fordville-Renshaw Loams, 02 slope",27.56719375,16,1492.134181,2.9528,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.532218086
77,"Fordville-Renshaw Loams, 02 slope",26.79291875,16,1493.549056,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.517269769
78,"Fordville-Renshaw Loams, 02 slope",23.26481176,17,1495.219618,5.2494,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.449155387
79,"Fordville-Renshaw Loams, 02 slope",23.27176154,13,1496.307808,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.449289561
80,"Fordville-Renshaw Loams, 02 slope",24.4276,11,1498.505718,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.471604423
81,"Buse-Barnes-Darnen Loams, 3-9 slope",26.11550909,11,1501.219873,2.9528,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.504191554
82,"Buse-Barnes-Darnen Loams, 3-9 slope",24.9213,18,1504.742639,7.5459,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.4811359
83,"Buse-Barnes-Darnen Loams, 3-9 slope",25.7129,14,1508.567686,4.9213,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.496418698
84,"Buse-Barnes-Darnen Loams, 3-9 slope",28.55472353,17,1510.176394,2.9527,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.551283545
85,"Buse-Barnes-Darnen Loams, 3-9 slope",25.58968333,18,1508.898367,3.937,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.494039851
86,"Buse-Barnes-Darnen Loams, 3-9 slope",28.48434444,18,1505.289439,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.549924792
87,"Buse-Barnes-Darnen Loams, 3-9 slope",34.76747778,18,1502.755906,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.671228296
88,"Buse-Barnes-Darnen Loams, 3-9 slope",26.98968333,18,1501.935694,2.2965,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.521068547
89,"Buse-Barnes-Darnen Loams, 3-9 slope",31.81307143,14,1500.928014,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.6141899
90,"Buse-Barnes-Darnen Loams, 3-9 slope",30.33787895,19,1497.204384,4.5932,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.585709522
91,"Buse-Barnes-Darnen Loams, 3-9 slope",19.78965714,7,1495.280271,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.382063316
