Column1,Soil_Name,MEAN_Yld_V,COUNT_Yld_,MEAN_Eleva,RANGE_Elev,Crop-Type,V.A.T(F),R.A.T(F),M.A.T(F),V.PET(inch),R.PET(inch),M.PET(inch),V.T.R(inch),R.T.R(inch),M.T.R(inch),NormalizedYield
92,"Buse-Barnes-Darnen Loams, 3-9 slope",19.10265833,12,1495.67475,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.368799971
93,"Buse-Barnes-Darnen Loams, 3-9 slope",23.38229286,14,1498.982943,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.451423502
94,"Barens-Svea Loams, 3-6 slope",32.25642727,11,1502.681345,4.9213,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.622749422
95,"Barens-Svea Loams, 3-6 slope",35.65209091,22,1506.036759,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.688306824
96,"Barens-Svea Loams, 3-6 slope",32.863915,20,1507.759185,4.9213,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.634477709
97,"Barens-Svea Loams, 3-6 slope",30.36356667,15,1509.481627,2.9528,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.586205454
98,"Barens-Svea Loams, 3-6 slope",29.2167125,16,1510.711937,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.564064044
99,"Barnes-Svea Loams, 0-3 slope",33.97842632,19,1511.225637,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.655994701
100,"Barnes-Svea Loams, 0-3 slope",34.04938947,19,1511.294705,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.657364731
101,"Barnes-Svea Loams, 0-3 slope",34.57691,20,1510.744745,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.667549154
102,"Barnes-Svea Loams, 0-3 slope",31.11861579,19,1510.034189,1.3124,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.600782593
103,"Barnes-Svea Loams, 0-3 slope",38.83064444,18,1509.117078,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.749672652
104,"Barnes-Svea Loams, 0-3 slope",42.298875,20,1508.05446,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.816631047
105,"Barnes-Svea Loams, 0-3 slope",37.81002857,21,1506.731976,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.729968426
106,"Barnes-Svea Loams, 0-3 slope",36.10286875,16,1505.913719,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.697009637
107,"Barnes-Svea Loams, 0-3 slope",35.21745294,17,1505.872724,2.6246,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.679915611
108,"Barnes-Svea Loams, 0-3 slope",39.57609375,16,1506.631394,2.6246,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.764064455
109,"Barnes-Svea Loams, 0-3 slope",37.1295,15,1507.6881,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.716829997
110,"Barnes-Svea Loams, 0-3 slope",37.27181875,16,1508.230812,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.719577633
111,"Barnes-Svea Loams, 0-3 slope",36.984125,16,1508.476856,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.714023357
112,"Barnes-Svea Loams, 0-3 slope",41.44242632,19,1508.307405,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.800096267
113,"Barnes-Svea Loams, 0-3 slope",37.33609,20,1508.03804,3.937,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.720818468
114,"Barnes-Svea Loams, 0-3 slope",31.39738947,19,1508.428316,5.2493,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.606164656
115,"Barnes-Svea Loams, 0-3 slope",34.83013077,13,1508.547846,5.9055,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.672437887
116,"Barnes-Svea Loams, 0-3 slope",41.10315882,17,1508.169259,6.2336,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.793546297
117,"Barnes-Svea Loams, 0-3 slope",38.31940625,16,1507.882225,5.9055,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.73980258
118,"Hamerly-Wyard Loams, 0-3 slope",40.9103625,16,1506.754431,4.5931,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.78982413
119,"Hamerly-Wyard Loams, 0-3 slope",37.95191333,15,1507.250647,5.5774,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.732707683
120,"Svea-Cresbard Loams, 0-3 slope",36.80375333,15,1507.97244,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.710541063
121,"Svea-Cresbard Loams, 0-3 slope",36.778725,16,1507.410594,5.2493,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.710057861
122,"Svea-Cresbard Loams, 0-3 slope",34.70705714,14,1508.567686,5.5774,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.670061802
123,"Svea-Cresbard Loams, 0-3 slope",34.28028824,17,1509.539518,5.5774,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.661822511
124,"Svea-Cresbard Loams, 0-3 slope",28.35010769,13,1510.314446,5.2494,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.547333188
125,"Svea-Cresbard Loams, 0-3 slope",28.97586,10,1511.90944,1.3124,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.559414095
126,"Svea-Cresbard Loams, 0-3 slope",33.11813636,11,1511.718573,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.639385761
127,"Svea-Cresbard Loams, 0-3 slope",32.37441,10,1512.72966,3.2808,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.625027222
128,"Svea-Cresbard Loams, 0-3 slope",23.61165625,16,1513.48015,4.5931,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.45585164
129,"Svea-Cresbard Loams, 0-3 slope",37.11241111,18,1510.721056,2.6247,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.716500076
130,"Svea-Cresbard Loams, 0-3 slope",36.46322,15,1511.362633,3.937,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.703966654
131,"Svea-Cresbard Loams, 0-3 slope",36.0793,14,1511.731336,3.6089,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.696554613
132,"Svea-Cresbard Loams, 0-3 slope",37.0025625,16,1511.614163,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.714379315
133,"Svea-Cresbard Loams, 0-3 slope",34.4746,17,1511.315029,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.665573935
134,"Svea-Cresbard Loams, 0-3 slope",33.952675,16,1510.77345,4.2651,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.65549754
135,"Svea-Cresbard Loams, 0-3 slope",28.42216154,13,1509.380669,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.548724275
136,"Svea-Cresbard Loams, 0-3 slope",25.24035,2,1509.4816,0,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.487295547
139,"La Prairie-Fluvaquents, Channeled Complex, 0-2",30.97771111,9,1490.088211,3.609,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.598062257
140,"Hamerly-Wyard Loams, 0-3 slope",23.60153077,13,1493.885015,3.2808,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.455656156
